,Count,Average_placement,Id,Name,Count(%)
0,397,0.027789518565824702,4,Tear of the Goddess,3.111529116701936
1,431,0.00014700087510436587,36,Ionic Spark,3.3780076808527313
2,185,0.08378379291997061,19,Infinity Edge,1.4499568931734461
3,691,1.8407187536566976e-05,67,Zephyr,5.415784936123521
4,302,0.023246186600428966,6,Negatron Cloak,2.3669566580453014
5,319,0.01571370441590849,45,Frozen Heart,2.5001959401206992
6,264,5.355515373000978e-05,3,Needlessly Large Rod,2.0691276745826475
7,203,0.00492615472109441,7,Giant's Belt,1.5910337800768084
8,241,3.2917061991265682e-21,1,B.F. Sword,1.8888627635394624
9,340,3.1915925535424555e-05,35,Locket of the Iron Solari,2.6647856415079554
10,274,0.07664253748203585,24,Statikk Shiv,2.147503722862293
11,900,0.00027709663154650764,47,Redemption,7.053844345168117
12,161,1.1721449203499282e-08,79,Trap Claw,1.2618543773022965
13,57,0.12280734568424505,38,Demolitionist's Charge,0.4467434751939807
14,343,0.023403337073425866,2,Recurve Bow,2.688298455991849
15,288,1.6849900591531613e-08,99,Thief's Gloves,2.257230190453797
16,156,0.02564102564102564,28,Infiltrator's Talons,1.2226663531624735
17,293,0.003649981092992879,88,Force of Nature,2.29641821459362
18,193,0.031088340278268626,5,Chain Vest,1.5126577317971628
19,329,0.03043500777951218,23,Guinsoo's Rageblade,2.578571988400345
20,94,0.18085106382978725,46,Chalice of Favor,0.7367348538286699
21,143,0.028069153102656983,9,Sparring Gloves,1.120777490398934
22,336,0.00061458714524351,15,Guardian Angel,2.633435222196097
23,186,8.518141833127251e-13,25,Titan's Resolve,1.4577944980014106
24,232,0.0005234668616903641,59,Shroud of Stillness,1.8183243200877812
25,531,0.00014343523319970206,27,Zz'Rot Portal,4.161768163649189
26,210,7.437404525998672e-09,13,Hextech Gunblade,1.6458970138725604
27,137,0.09517563942296402,8,Spatula,1.0737518614311465
28,142,0.0004862431963872287,69,Quicksilver,1.1129398855709693
29,324,0.0003997173205049403,17,Zeke's Herald,2.539383964260522
30,370,0.05677845917206615,14,Spear of Shojin,2.8999137863468922
31,242,0.041326694534550436,49,Hand Of Justice,1.896700368367427
32,197,0.010152284267506109,16,Bloodthirster,1.5440081511090211
33,210,0.03809908326280441,55,Bramble Vest,1.6458970138725604
34,148,0.03378379696624442,77,Warmog's Armor,1.159965514538757
35,336,0.014880952381560045,78,Protector's Chestguard,2.633435222196097
36,314,0.003185849962333029,22,Rapid Firecannon,2.4610079159808764
37,188,4.0400686197202155e-05,66,Dragon's Claw,1.4734697076573398
38,364,3.4227666071348424e-19,68,Celestial Orb,2.852888157379105
39,167,1.2949909797224053e-06,12,Giant Slayer,1.3088800062700838
40,170,7.828579738330778e-08,57,Red Buff,1.3323928207539777
41,140,0.015139579426008362,11,Deathblade,1.0972646759150404
42,176,0.05690327226588984,29,Last Whisper,1.379418449721765
43,173,0.04151315434206773,56,Sword Breaker,1.3559056352378713
44,141,0.0922076467202703,34,Luden's Echo,1.1051022807430049
45,137,0.05853855354906227,26,Runaan's Hurricane,1.0737518614311465
46,81,0.09876543209876543,89,Dark Star's Heart,0.6348459910651305
47,112,0.053955743254863575,44,Seraph's Embrace,0.8778117407320324
48,68,0.00031750999173835897,33,Rabadon's Deathcap,0.532957128301591
49,106,0.11340009585825224,39,Jeweled Gauntlet,0.8307861117642449
50,66,0.1818575236688047,37,Morellonomicon,0.5172819186456619
51,45,0.2444517520008103,48,Star Guardian's Charm,0.3526922172584058
52,60,0.03512820512820513,58,Rebel Medal,0.4702562896778745
53,46,0.2608695652176087,18,Blade of the Ruined King,0.3605298220863704
