,Count,Average_placement,Id,Name,Count(%)
0,40,0.2016502335521589,26,Runaan's Hurricane,1.9675356615838662
1,41,0.5384240028828859,37,Morellonomicon,2.016724053123463
2,50,0.3957696685431999,15,Guardian Angel,2.459419576979833
3,54,0.52929048832886,14,Spear of Shojin,2.6561731431382194
4,34,1.529411764743303,28,Infiltrator's Talons,1.6724053123462863
5,41,0.9796947993344715,36,Ionic Spark,2.016724053123463
6,36,0.5907807277284536,34,Luden's Echo,1.7707820954254796
7,51,0.9235398834991021,99,Thief's Gloves,2.5086079685194296
8,35,0.883662622569856,56,Sword Breaker,1.721593703885883
9,48,0.9453620089027329,44,Seraph's Embrace,2.3610427939006393
10,36,0.8336301097526677,57,Red Buff,1.7707820954254796
11,22,2.04566539804948,38,Demolitionist's Charge,1.0821446138711266
12,35,0.17762543072677836,24,Statikk Shiv,1.721593703885883
13,49,0.6545738594900947,79,Trap Claw,2.410231185440236
14,42,0.5010945906545751,17,Zeke's Herald,2.0659124446630592
15,30,0.9667174783692684,16,Bloodthirster,1.4756517461878997
16,41,0.7346905067391304,49,Hand Of Justice,2.016724053123463
17,42,0.6682396383593024,23,Guinsoo's Rageblade,2.0659124446630592
18,36,1.2176148150219526,88,Force of Nature,1.7707820954254796
19,35,0.9431361806726165,46,Chalice of Favor,1.721593703885883
20,26,1.538476198837393,48,Star Guardian's Charm,1.278898180029513
21,38,0.6218235477816408,4,Tear of the Goddess,1.8691588785046727
22,37,0.9017212844173046,39,Jeweled Gauntlet,1.8199704869650761
23,43,0.8860221841932714,2,Recurve Bow,2.115100836202656
24,42,1.1172795129469226,69,Quicksilver,2.0659124446630592
25,39,0.7729366987388465,13,Hextech Gunblade,1.9183472700442696
26,31,1.1615119215838638,22,Rapid Firecannon,1.5248401377274963
27,51,0.9898302250246381,35,Locket of the Iron Solari,2.5086079685194296
28,30,1.3297099808377635,29,Last Whisper,1.4756517461878997
29,23,0.9130434933449152,18,Blade of the Ruined King,1.1313330054107231
30,33,1.2433851913792036,77,Warmog's Armor,1.6232169208066896
31,28,1.0358716074459422,19,Infinity Edge,1.3772749631087065
32,54,0.4875181788762152,67,Zephyr,2.6561731431382194
33,32,1.1251044114378477,12,Giant Slayer,1.5740285292670928
34,41,1.8769722746537296,3,Needlessly Large Rod,2.016724053123463
35,40,1.0519433346760665,27,Zz'Rot Portal,1.9675356615838662
36,36,1.3657991199186648,33,Rabadon's Deathcap,1.7707820954254796
37,22,1.545473756258177,78,Protector's Chestguard,1.0821446138711266
38,41,0.5511981552995691,59,Shroud of Stillness,2.016724053123463
39,30,2.5808420036939306,11,Deathblade,1.4756517461878997
40,40,1.2251465678501747,5,Chain Vest,1.9675356615838662
41,47,0.8345011865960058,66,Dragon's Claw,2.3118544023610426
42,64,0.27096452492296286,55,Bramble Vest,3.1480570585341856
43,43,1.6433871914016078,6,Negatron Cloak,2.115100836202656
44,50,1.7001097584703313,7,Giant's Belt,2.459419576979833
45,43,0.8528255409954408,47,Redemption,2.115100836202656
46,38,0.8684572293946469,25,Titan's Resolve,1.8691588785046727
47,41,1.0093223656465362,45,Frozen Heart,2.016724053123463
48,24,1.467695601251782,9,Sparring Gloves,1.1805213969503197
49,31,1.7741935487240925,68,Celestial Orb,1.5248401377274963
50,19,0.7894736889161562,89,Dark Star's Heart,0.9345794392523363
51,34,0.7059287158814717,1,B.F. Sword,1.6724053123462863
52,28,1.6607142899717684,58,Rebel Medal,1.3772749631087065
53,16,3.8125915527344105,8,Spatula,0.7870142646335464
