,Id,Count,Sum_Placement,Name,Average_Placement,Image,Count(%)
0,22,679,4296,Rapid Firecannon,6.326951399116347,../../../assets/set3/items/22.png,3.503250438551233
1,15,1498,9597,Guardian Angel,6.406542056074766,../../../assets/set3/items/15.png,7.728820555154267
2,79,671,4288,Trap Claw,6.390461997019374,../../../assets/set3/items/79.png,3.4619750283768442
3,44,901,5760,Seraph's Embrace,6.392896781354051,../../../assets/set3/items/44.png,4.648643070890517
4,69,1089,7031,Quicksilver,6.456382001836547,../../../assets/set3/items/69.png,5.618615209988649
5,57,507,3212,Red Buff,6.335305719921105,../../../assets/set3/items/57.png,2.615829119801878
6,35,138,837,Locket of the Iron Solari,6.065217391304348,../../../assets/set3/items/35.png,0.7120008255082035
7,26,735,4664,Runaan's Hurricane,6.345578231292517,../../../assets/set3/items/26.png,3.7921783097719532
8,29,627,4019,Last Whisper,6.409888357256778,../../../assets/set3/items/29.png,3.234960272417707
9,19,837,5296,Infinity Edge,6.327359617682198,../../../assets/set3/items/19.png,4.318439789495408
10,16,162,991,Bloodthirster,6.117283950617284,../../../assets/set3/items/16.png,0.8358270560313692
11,39,240,1497,Jeweled Gauntlet,6.2375,../../../assets/set3/items/39.png,1.2382623052316581
12,45,593,3692,Frozen Heart,6.2259696458684655,../../../assets/set3/items/45.png,3.0595397791765557
13,4,219,1472,Tear of the Goddess,6.7214611872146115,../../../assets/set3/items/04.png,1.1299143535238882
14,23,921,5837,Guinsoo's Rageblade,6.337676438653637,../../../assets/set3/items/23.png,4.751831596326488
15,8,13,86,Spatula,6.615384615384615,../../../assets/set3/items/08.png,0.06707254153338149
16,3,169,1119,Needlessly Large Rod,6.621301775147929,../../../assets/set3/items/03.png,0.8719430399339593
17,49,400,2541,Hand Of Justice,6.3525,../../../assets/set3/items/49.png,2.0637705087194305
18,25,216,1387,Titan's Resolve,6.421296296296297,../../../assets/set3/items/25.png,1.1144360747084925
19,34,217,1373,Luden's Echo,6.3271889400921655,../../../assets/set3/items/34.png,1.1195955009802911
20,33,665,4268,Rabadon's Deathcap,6.418045112781955,../../../assets/set3/items/33.png,3.4310184707460527
21,2,222,1439,Recurve Bow,6.481981981981982,../../../assets/set3/items/02.png,1.1453926323392838
22,37,763,4795,Morellonomicon,6.284403669724771,../../../assets/set3/items/37.png,3.9366422453823136
23,14,468,2943,Spear of Shojin,6.288461538461538,../../../assets/set3/items/14.png,2.4146114952017337
24,17,231,1446,Zeke's Herald,6.259740259740259,../../../assets/set3/items/17.png,1.191827468785471
25,11,664,4327,Deathblade,6.516566265060241,../../../assets/set3/items/11.png,3.4258590444742545
26,55,467,3024,Bramble Vest,6.475374732334047,../../../assets/set3/items/55.png,2.409452068929935
27,36,722,4573,Ionic Spark,6.333795013850415,../../../assets/set3/items/36.png,3.725105768238572
28,66,324,2106,Dragon's Claw,6.5,../../../assets/set3/items/66.png,1.6716541120627384
29,24,223,1432,Statikk Shiv,6.42152466367713,../../../assets/set3/items/24.png,1.1505520586110825
30,12,435,2740,Giant Slayer,6.2988505747126435,../../../assets/set3/items/12.png,2.2443504282323805
31,47,378,2364,Redemption,6.253968253968254,../../../assets/set3/items/47.png,1.9502631307398617
32,18,77,451,Blade of the Ruined King,5.857142857142857,../../../assets/set3/items/18.png,0.39727582292849034
33,59,179,1126,Shroud of Stillness,6.290502793296089,../../../assets/set3/items/59.png,0.9235373026519451
34,5,115,741,Chain Vest,6.443478260869565,../../../assets/set3/items/05.png,0.5933340212568363
35,13,201,1242,Hextech Gunblade,6.17910447761194,../../../assets/set3/items/13.png,1.037044680631514
36,38,215,1364,Demolitionist's Charge,6.344186046511628,../../../assets/set3/items/38.png,1.1092766484366938
37,67,394,2511,Zephyr,6.373096446700508,../../../assets/set3/items/67.png,2.032813951088639
38,1,115,731,B.F. Sword,6.356521739130435,../../../assets/set3/items/01.png,0.5933340212568363
39,9,67,441,Sparring Gloves,6.582089552238806,../../../assets/set3/items/09.png,0.34568156021050456
40,28,124,779,Infiltrator's Talons,6.282258064516129,../../../assets/set3/items/28.png,0.6397688577030234
41,6,135,869,Negatron Cloak,6.437037037037037,../../../assets/set3/items/06.png,0.6965225466928077
42,58,87,562,Rebel Medal,6.459770114942529,../../../assets/set3/items/58.png,0.4488700856464761
43,68,91,563,Celestial Orb,6.186813186813187,../../../assets/set3/items/68.png,0.4695077907336704
44,99,173,1123,Thief's Gloves,6.491329479768786,../../../assets/set3/items/99.png,0.8925807450211537
45,77,194,1284,Warmog's Armor,6.618556701030927,../../../assets/set3/items/77.png,1.0009286967289237
46,46,132,800,Chalice of Favor,6.0606060606060606,../../../assets/set3/items/46.png,0.681044267877412
47,27,238,1498,Zz'Rot Portal,6.294117647058823,../../../assets/set3/items/27.png,1.227943452688061
48,89,28,165,Dark Star's Heart,5.892857142857143,../../../assets/set3/items/89.png,0.1444639356103601
49,7,155,998,Giant's Belt,6.438709677419355,../../../assets/set3/items/07.png,0.7997110721287793
50,56,136,871,Sword Breaker,6.404411764705882,../../../assets/set3/items/56.png,0.7016819729646063
51,88,63,404,Force of Nature,6.412698412698413,../../../assets/set3/items/88.png,0.3250438551233103
52,78,37,217,Protector's Chestguard,5.864864864864865,../../../assets/set3/items/78.png,0.19089877205654732
53,48,32,207,Star Guardian's Charm,6.46875,../../../assets/set3/items/48.png,0.16510164069755442
